Nazwa zespołu,Nazwa płyty,"wydanie
",Stan płyty 1-10,Dostępna? (T/N),Zdjęcie front (opcjonalne),Zdjęcie back (opcjonalne),Zdjęcie płyta (opcjonalne),Cena (zł)
The Paralyzers,Calling Elvis,UK,NM,,https://images-na.ssl-images-amazon.com/images/I/51ncwgNzLrL._SY355_.jpg,https://img.discogs.com/JGveEoGFG4nT9j7bxHNT-0G7VuQ=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-12204726-1530444526-9948.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/51ncwgNzLrL.jpg,60 ZŁ
2 Unlimited,Get Ready,UK,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/2_Unlimited_Get_Ready_cover.jpg/220px-2_Unlimited_Get_Ready_cover.jpg,https://img.discogs.com/Xv3TnlHX2PwCwWy9V2NTE8Ikkow=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-206156-1279719698.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/e/ec/2_Unlimited_Get_Ready_cover.jpg,55 ZŁ
A. Collins/R. Cray/J. Copeland,Showdown,USA,EX+,,https://img.discogs.com/hDHfMl-Mah4YhG4TVY4eL0K7TIc=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2839314-1303397673.jpeg.jpg,https://i.pinimg.com/originals/cf/8a/3f/cf8a3fb42ad220de0436cffbfec920c3.jpg,https://img.discogs.com/r0yfh7-pUt05B7oAnQyCFISTZaE=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2839314-1303397673.jpeg.jpg,50 ZŁ
AC/DC,Flick Of The Switch,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Ac-dc_Flick_of_the_Switch.JPG/220px-Ac-dc_Flick_of_the_Switch.JPG,https://townsquare.media/site/295/files/2015/08/acdc.jpg?w=980&q=75,https://upload.wikimedia.org/wikipedia/en/8/8d/Ac-dc_Flick_of_the_Switch.JPG,80 ZŁ
AC/DC,High Voltage,AUS,- EX/EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Acdc_high_voltage_international_album.jpg/220px-Acdc_high_voltage_international_album.jpg,https://blog.discogs.com/wp-content/uploads/2017/11/acdchighvoltage.jpg,https://upload.wikimedia.org/wikipedia/en/f/fc/Acdc_high_voltage_international_album.jpg,220 ZŁ
Adamski,Liveandirect,UK,EX-,,https://img.discogs.com/ylKuNoo1ojgntBLfFaqXNvbwwos=/fit-in/598x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2393243-1306469616.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/7/7d/AdamskiLiveandirect.jpg,https://img.discogs.com/AEqOgMFO-Yibg06c5uLHsFHx2yE=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-85987-1177883318.jpeg.jpg,25 ZŁ
Al di Meola,Casino,UK,NM,,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Al_Di_Meola-Casino.jpeg/220px-Al_Di_Meola-Casino.jpeg,http://www.progarchives.com/progressive_rock_discography_covers/2075/cover_46961472016_r.jpg,https://img.discogs.com/7Yl5cg3SHFIcybPD-qnO28WT-kQ=/fit-in/596x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1137667-1277067994.jpeg.jpg,40 ZŁ
Al di Meola,Land Of The Midnight Sun,HOL,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Cover_-_midnight_sun.jpg/220px-Cover_-_midnight_sun.jpg,https://img.discogs.com/ADTbwThGZ23rYxI5CcDKNJfcqlU=/fit-in/600x602/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-458577-1254033221.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/5/51/Cover_-_midnight_sun.jpg,40 ZŁ
Al di Meola,Land Of The Midnight Sun,HOL,NM,,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Cover_-_midnight_sun.jpg/220px-Cover_-_midnight_sun.jpg,https://img.discogs.com/ADTbwThGZ23rYxI5CcDKNJfcqlU=/fit-in/600x602/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-458577-1254033221.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/5/51/Cover_-_midnight_sun.jpg,55 ZŁ
Al di Meola,Splendido Hotel,USA,EX,,http://www.progarchives.com/progressive_rock_discography_covers/2075/cover_39581472016_r.jpg,https://img.discogs.com/UcPs2alfhYDvKmsguThPNwNrEcQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1648214-1285787774.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Splendido_hotel.jpg/220px-Splendido_hotel.jpg,70 ZŁ
Al di Meola / Paco de Lucia / John McLaughlin,Friday....,HOL,EX,,https://img.discogs.com/JGAji7k9Nq4BjrkFFior572XGfw=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-639052-1334697809.jpeg.jpg,https://www.audiophileusa.com/covers400water/65678.jpg,https://img.discogs.com/AAt37_qTIk813H2Fdgf26CTJfNU=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-5917959-1406426488-4270.jpeg.jpg,60 ZŁ
Al di Meola Project,Soaring Through a Dream,USA,EX-,,http://www.progarchives.com/progressive_rock_discography_covers/2075/cover_446101472016_r.jpg,https://img.discogs.com/EXxyRALW-FLWhMlOA6mrQUXjgdU=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2722905-1298135824.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Al_di_Meola_Soaring_through_a_dream.jpg/220px-Al_di_Meola_Soaring_through_a_dream.jpg,55 ZŁ
Al Jarreau,Heaven And Earth,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Al_Jarreau_Heaven_and_Earth_cover.jpg/220px-Al_Jarreau_Heaven_and_Earth_cover.jpg,https://img.discogs.com/BkNKjnw6k8163ZbvDvPuAWc0_BQ=/fit-in/550x520/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3379841-1328119753.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/f/f8/Al_Jarreau_Heaven_and_Earth_cover.jpg,50 ZŁ
Alannah Myles,same,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Alannahmylesalbum.jpg/220px-Alannahmylesalbum.jpg,https://images-na.ssl-images-amazon.com/images/I/51YsEZEfSDL.jpg,https://upload.wikimedia.org/wikipedia/en/9/9c/Alannahmylesalbum.jpg,25 ZŁ
Alexis Korner,Alexis Korner And... 2 LP,UK,NM,,https://img.discogs.com/6QwQMaiWSfqgv_A0Jq9FDDvqV34=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3198964-1325294062.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/51iby5sh8kL._SX355_.jpg,https://img.discogs.com/RpLCQbgbfpBMGEyeZlo1v3gEVWU=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1497079-1224195122.jpeg.jpg,60 ZŁ
Alexis Korner,Will The Circle...,GER,EX+,,https://img.discogs.com/gds65vlYWI_pS4tqTgDg8tBPw9s=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1857176-1577056860-6165.jpeg.jpg,https://www.audiophileusa.com/covers400water/33831.jpg,https://img.discogs.com/e61DEaclb5NuyBm8i3a4---I9ig=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-4553827-1459767172-9709.jpeg.jpg,55 ZŁ
